condition,problem,timestamp,final_compliance,topology_sparsity,grey_ratio,convergence_step,wall_time_s,n_params,n_steps,compliance_at_step_20,compliance_at_step_40,compliance_at_step_80
K,mbb_beam,2026-03-05T13:24:03.712670,332.81439851245545,0.6979166666666666,0.6875,4,1.1065845489501953,755297,5,,,
K,mbb_beam,2026-03-05T13:27:42.886202,367.4022046270598,0.7020833333333333,0.6875,4,0.3189270496368408,755297,5,,,
K,multistory_building,2026-03-05T13:20:44.924152,351.0651261992192,0.6958333333333333,0.7083333333333334,4,0.2525448799133301,755297,5,,,
K,multistory_building,2026-03-05T13:24:04.770478,414.2524736414009,0.7520833333333333,0.60625,5,1.024317741394043,755297,5,,,
K,multistory_building,2026-03-05T13:27:43.151717,306.795978442286,0.7958333333333333,0.6645833333333333,4,0.2532618045806885,755297,5,,,
L,causeway_bridge,2026-03-05T13:20:45.920606,2328.712305509658,0.10416666666666667,0.9958333333333333,1,0.21462297439575195,480,5,,,
L,causeway_bridge,2026-03-05T13:24:08.268899,1092.1417848369135,0.675,0.99375,1,0.7639820575714111,480,5,,,
L,causeway_bridge,2026-03-05T13:27:44.036753,1220.0460348822812,0.5416666666666666,1.0,1,0.1931304931640625,480,5,,,
L,mbb_beam,2026-03-05T13:20:45.449251,668.3563515811389,0.95625,0.98125,1,0.22976350784301758,480,5,,,
L,mbb_beam,2026-03-05T13:24:06.636324,1541.2501596164975,0.34791666666666665,0.9958333333333333,1,0.737830400466919,480,5,,,
L,mbb_beam,2026-03-05T13:27:43.631937,742.3847234534223,0.9145833333333333,0.99375,1,0.1976168155670166,480,5,,,
L,multistory_building,2026-03-05T13:20:45.694010,1122.659832984234,0.58125,1.0,1,0.23030662536621094,480,5,,,
L,multistory_building,2026-03-05T13:24:07.471474,923.6863687357198,0.7333333333333333,1.0,1,0.7980248928070068,480,5,,,
L,multistory_building,2026-03-05T13:27:43.832183,1340.4405277317842,0.45208333333333334,1.0,1,0.18712639808654785,480,5,,,
