condition,problem,timestamp,final_compliance,topology_sparsity,grey_ratio,convergence_step,wall_time_s,n_params,n_steps,compliance_at_step_20,compliance_at_step_40,compliance_at_step_80,compliance_at_step_120
G1,mbb_beam,2026-05-28T21:50:27.687257,229.3217390469573,0.689,0.4445,9,55.743536710739136,21377,200,231.40317772922495,235.46872355608173,233.1312404841684,229.66216679335233
G1,multistory_building,2026-05-28T22:07:07.145362,87.82503509914439,0.4630126953125,0.464111328125,2,323.1709895133972,21377,200,107.15123439744326,114.1791062743425,91.99733879228668,101.06723532156342
G2,mbb_beam,2026-05-28T21:51:23.354564,218.2799527712201,0.599,0.029,6,55.64444613456726,103553,200,222.45333306707002,220.6512529374458,216.8340409844261,217.98595131958646
G2,multistory_building,2026-05-28T22:12:13.188294,64.62399581191758,0.3638916015625,0.027099609375,38,305.99520802497864,103553,200,88.86413928279049,71.07526526229611,66.38419239540082,65.61881054141878
G3,mbb_beam,2026-05-28T21:52:08.502453,221.68790344106264,0.7555,0.5305,15,45.12896466255188,108993,200,226.6365225471804,222.30330915575627,231.2562754576636,229.34153644696903
G3,multistory_building,2026-05-28T22:16:27.481569,75.95726641099736,0.353271484375,0.458984375,8,254.26049160957336,108993,200,70.85705457322061,110.41007083138193,98.37912458481281,95.0445665121869
R0,mbb_beam,2026-05-28T21:49:31.922612,218.40822489483742,0.6705,0.204,12,52.395673513412476,948833,200,220.94265938054554,230.39458512206414,222.72253120763474,222.2677898821235
R0,multistory_building,2026-05-28T22:01:43.930881,63.63551376346477,0.3597412109375,0.053466796875,82,271.6366994380951,948833,200,94.92649180676946,75.82896055713766,70.69119148245203,65.27448106886835
